label_name,label_code,total_count,correct_prediction,manually_updated,proportion_correct,proportion_revised,percent_confidence
boulder,SU_bould,319,156,163,0.49,0.51,0.95
pebble,SU_peb,315,239,76,0.76,0.24,1
green_algae_ulva,GR_ulva,264,222,42,0.84,0.16,1
kelp_sugar,KE_sugar,259,188,71,0.73,0.27,1
unknown_area,unknown,244,69,175,0.28,0.72,0.99
sand_fine_shell,SU_sand,144,120,24,0.83,0.17,0.99
red_algae_branching,RE_branch,135,80,55,0.59,0.41,0.98
silt,SU_silt,116,105,11,0.91,0.09,1
kelp_sieve,KE_sieve,115,87,28,0.76,0.24,1
red_algae_flat_leaf,RE_leaf,112,68,44,0.61,0.39,1
red_algae_filamentous,RE_fil,107,75,32,0.7,0.3,1
brown_algae_sargassum,BR_sarg,97,66,31,0.68,0.32,1
red_algae_encrusting_CCA,RE_CCA,87,77,10,0.89,0.11,1
cobble,SU_cob,68,23,45,0.34,0.66,0.91
red_algae_bushy,RE_bush,46,43,3,0.93,0.07,1
kelp_five_rib,KE_5rib,21,13,8,0.62,0.38,1
mobile_species,MS,20,15,5,0.75,0.25,1
anthropogenic,SU_anth,8,0,8,0,1,NA
brown_algae_fucus,BR_fucus,7,3,4,0.43,0.57,0.9
brown_algae_encrusting,BR_encrust,4,0,4,0,1,NA
sessile_invert,SI,4,3,1,0.75,0.25,1
shell_hash,SU_shell,3,2,1,0.67,0.33,0.84
kelp_holdfast,KE_holdfas,2,2,0,1,0,0.8
kelp_stipe,KE_stipe,2,2,0,1,0,0.6
kelp_bull_ blade,KE_bull,1,0,1,0,1,NA
